v10,u_curr,v_curr,elevation,target
-3.5906677,-0.24414062,-0.09472656,233.0,1
-3.0730896,-0.24414062,-0.09472656,360.0,1
-2.750824,-0.24414062,-0.09472656,340.0,1
-2.6023865,-0.24414062,-0.09472656,530.0,1
-5.054947,-0.21582031,-0.25390625,-120.0,1
-4.8108063,-0.12011719,-0.18164062,-110.0,1
-3.8947906,-0.0048828125,-0.16308594,-91.0,1
-3.2522125,-0.24414062,-0.09472656,116.0,1
-2.8147125,-0.24414062,-0.09472656,193.0,1
-4.6652985,0.07324219,-0.17480469,-60.0,1
-4.221939,-0.24414062,-0.09472656,51.0,1
-3.2717438,-0.24414062,-0.09472656,176.0,1
-2.9572906,-0.24414062,-0.09472656,166.0,1
-3.0490875,-0.24414062,-0.09472656,237.0,1
-4.041275,-0.24414062,-0.09472656,153.0,1
-3.581314,-0.24414062,-0.09472656,233.0,1
-3.1135406,-0.24414062,-0.09472656,360.0,1
-2.971939,-0.24414062,-0.09472656,340.0,1
-2.96315,-0.24414062,-0.09472656,530.0,1
-5.2480927,-0.26953125,-0.26464844,-120.0,0
-5.0449677,-0.18066406,-0.20117188,-110.0,1
-4.1885223,-0.059570312,-0.18457031,-91.0,1
-3.5117645,-0.24414062,-0.09472656,116.0,1
-2.9922333,-0.24414062,-0.09472656,193.0,1
-4.8203583,0.032226562,-0.20703125,-60.0,1
-4.401413,-0.24414062,-0.09472656,51.0,1
-3.5059052,-0.24414062,-0.09472656,176.0,1
-3.2412567,-0.24414062,-0.09472656,166.0,1
-3.4355927,-0.24414062,-0.09472656,237.0,1
-4.2305145,-0.24414062,-0.09472656,153.0,1
-3.800827,-0.24414062,-0.09472656,233.0,1
-3.3223114,-0.24414062,-0.09472656,360.0,1
-3.260788,-0.24414062,-0.09472656,340.0,1
-3.403366,-0.24414062,-0.09472656,530.0,1
-5.429825,-0.32128906,-0.25585938,-120.0,0
-5.150528,-0.24414062,-0.19921875,-110.0,0
-4.1847076,-0.12109375,-0.19628906,-91.0,0
-3.4356842,-0.24414062,-0.09472656,116.0,1
-2.909317,-0.24414062,-0.09472656,193.0,1
-4.9239655,-0.021484375,-0.22265625,-60.0,0
-4.516739,-0.24414062,-0.09472656,51.0,0
-3.5333405,-0.24414062,-0.09472656,176.0,0
-3.2032623,-0.24414062,-0.09472656,166.0,1
-3.4151764,-0.24414062,-0.09472656,237.0,1
-4.306778,-0.24414062,-0.09472656,153.0,0
-3.8946686,-0.24414062,-0.09472656,233.0,0
-3.5675201,-0.24414062,-0.09472656,360.0,1
-3.4864655,-0.24414062,-0.09472656,340.0,1
-3.704239,-0.24414062,-0.09472656,530.0,1
-5.4011993,-0.36523438,-0.22949219,-120.0,0
-5.056473,-0.29882812,-0.17480469,-110.0,0
-3.848465,-0.18066406,-0.19140625,-91.0,0
-3.053543,-0.24414062,-0.09472656,116.0,0
-2.4246368,-0.24414062,-0.09472656,193.0,0
-4.7049103,-0.078125,-0.21972656,-60.0,0
-4.2693634,-0.24414062,-0.09472656,51.0,0
-3.0506134,-0.24414062,-0.09472656,176.0,0
-2.7898712,-0.24414062,-0.09472656,166.0,0
-2.9236603,-0.24414062,-0.09472656,237.0,0
-3.8855743,-0.24414062,-0.09472656,153.0,0
-3.449051,-0.24414062,-0.09472656,233.0,0
-3.2088165,-0.24414062,-0.09472656,360.0,0
-3.1775665,-0.24414062,-0.09472656,340.0,0
-3.2742462,-0.24414062,-0.09472656,530.0,0
-5.02359,-0.39746094,-0.19335938,-120.0,0
-4.635895,-0.3359375,-0.13574219,-110.0,0
-3.3175354,-0.22460938,-0.17089844,-91.0,0
-2.3468323,-0.24414062,-0.09472656,116.0,0
-1.6769104,-0.24414062,-0.09472656,193.0,0
-4.1476135,-0.12792969,-0.20410156,-60.0,0
-3.7481995,-0.24414062,-0.09472656,51.0,0
-2.4386292,-0.24414062,-0.09472656,176.0,0
-2.0509338,-0.24414062,-0.09472656,166.0,0
-2.2413635,-0.24414062,-0.09472656,237.0,0
-3.0694885,-0.24414062,-0.09472656,153.0,0
-2.6661682,-0.24414062,-0.09472656,233.0,0
-2.6339417,-0.24414062,-0.09472656,360.0,0
-2.7130432,-0.24414062,-0.09472656,340.0,0
-2.8771057,-0.24414062,-0.09472656,530.0,0
-4.453079,-0.41601562,-0.15039062,-120.0,0
-3.9950714,-0.35546875,-0.091796875,-110.0,0
-2.748001,-0.24804688,-0.140625,-91.0,0
-1.8378448,-0.24414062,-0.09472656,116.0,0
-1.1864777,-0.24414062,-0.09472656,193.0,0
-3.4911652,-0.16796875,-0.17871094,-60.0,0
-3.1034698,-0.24414062,-0.09472656,51.0,0
-1.871048,-0.24414062,-0.09472656,176.0,0
-1.5917511,-0.24414062,-0.09472656,166.0,0
-1.7802277,-0.24414062,-0.09472656,237.0,0
-2.4853058,-0.24414062,-0.09472656,153.0,0
-2.0976105,-0.24414062,-0.09472656,233.0,0
-2.029251,-0.24414062,-0.09472656,360.0,0
-2.1503448,-0.24414062,-0.09472656,340.0,0
-2.3905792,-0.24414062,-0.09472656,530.0,0
-3.8015442,-0.41992188,-0.10546875,-120.0,0
-3.3347473,-0.36132812,-0.048828125,-110.0,0
-2.360138,-0.25585938,-0.11328125,-91.0,0
-1.7361145,-0.24414062,-0.09472656,116.0,0
-1.4333801,-0.24414062,-0.09472656,193.0,0
-2.7800598,-0.19921875,-0.14746094,-60.0,0
-2.5593567,-0.24414062,-0.09472656,51.0,0
-1.6120911,-0.24414062,-0.09472656,176.0,0
-1.7038879,-0.24414062,-0.09472656,166.0,0
